 AR                 0   136.500     3.330     0.000     0.000     0.000          
 N2                 1    97.530     3.621     0.000     1.760     4.000          
 H                  0   145.000     2.050     0.000     0.000     0.000          
 H2                 1    38.000     2.920     0.000     0.790   280.000          
 H2O                2   572.400     2.605     1.844     0.000     4.000          
 H2O2               2   107.400     3.458     0.000     0.000     3.800          
 HO2                2   107.400     3.458     0.000     0.000     1.000          
 O                  0    80.000     2.750     0.000     0.000     0.000          
 O2                 1   107.400     3.458     0.000     1.600     3.800        
 CO                 1    98.100     3.650     0.000     1.950     1.800          
 CO2                1   244.000     3.763     0.000     2.650     2.100          
 HCO                2   498.000     3.590     0.000     0.000     0.000          
 CH3                1   144.000     3.800     0.000     0.000     0.000          
 CH4                2   141.400     3.746     0.000     2.600    13.000          
 CH2O               2   498.000     3.590     0.000     0.000     2.000          
 CH3O               2   417.000     3.690     1.700     0.000     2.000          
 CH3OH              2   481.800     3.626     0.000     0.000     1.000          
 HOCH2O             2   346.703     4.398     0.000     0.000     0.000          
 HOCHO              2   342.374     4.366     0.000     0.000     0.000          
 CH2                1   144.000     3.800     0.000     0.000     0.000          
 CH2GSG             1   144.000     3.800     0.000     0.000     0.000          
 OH                 1    80.000     2.750     0.000     0.000     0.000      
 CH3O2              2   346.703     4.398     0.000     0.000     0.000          
 CH3O2H             2   350.993     4.428     0.000     0.000     0.000          
 C2H6               2   267.460     3.794     0.000     0.000     0.000          
 C2H5               2   262.223     3.751     0.000     0.000     0.000          
 C2H4               2   256.908     3.708     0.000     0.000     0.000          
 C2H5O2             2   403.365     4.793     0.000     0.000     0.000          
 C2H5O2H            2   407.213     4.819     0.000     0.000     0.000          
 C2H3               2   251.513     3.664     0.000     0.000     0.000          
 CH3CHO             2   333.779     4.304     0.000     0.000     0.000          
 C2H5O              2   338.188     4.336     0.000     0.000     0.000          
 C2H3O1X2           2   329.328     4.271     0.000     0.000     0.000          
 CH3CO              2   329.328     4.271     0.000     0.000     0.000          
 CH2CHO             2   329.328     4.271     0.000     0.000     0.000          
 CH2CO              2   324.832     4.238     0.000     0.000     0.000          
 HCCO               2   320.292     4.204     0.000     0.000     0.000          
 C2H2               2   246.032     3.618     0.000     0.000     0.000          
 C2H3CHO            2   383.872     4.660     0.000     0.000     0.000          
 C2H3CO             2   379.854     4.632     0.000     0.000     0.000          
 NXC3H7             2   329.514     4.272     0.000     0.000     0.000          
 C3H5XA             2   320.482     4.205     0.000     0.000     0.000          
 C3H6               2   325.021     4.239     0.000     0.000     0.000          
 NXC3H7O2           2   454.761     5.132     0.000     0.000     0.000          
 C3H5O              2   387.860     4.687     0.000     0.000     0.000          
 C3H6OOH1X2         2   454.761     5.132     0.000     0.000     0.000          
 PXC4H9             2   388.026     4.689     0.000     0.000     0.000          
 SXC4H9             2   388.026     4.689     0.000     0.000     0.000          
 PXC4H9O2           2   502.252     5.430     0.000     0.000     0.000          
 C4H8X1             2   384.039     4.661     0.000     0.000     0.000          
 C4H8X2             2   384.039     4.661     0.000     0.000     0.000          
 C4H71X3            2   380.022     4.633     0.000     0.000     0.000          
 C4H71X4            2   380.022     4.633     0.000     0.000     0.000          
 C4H6               2   375.974     4.605     0.000     0.000     0.000          
 C4H7O              2   440.584     5.040     0.000     0.000     0.000          
 C4H8O1X3           2   444.197     5.063     0.000     0.000     0.000          
 C4H8OOH1X3         2   502.252     5.430     0.000     0.000     0.000          
 C4H8OOH1X3O2       2   600.078     6.009     0.000     0.000     0.000      
 NC4KET13           2   549.655     5.716     0.000     0.000     0.000          
 C2H5COCH2          2   440.584     5.040     0.000     0.000     0.000         
 C5H11X1            2   440.735     5.041     0.000     0.000     0.000          
 C5H10X1            2   437.102     5.017     0.000     0.000     0.000          
 C5H91X3            2   433.447     4.993     0.000     0.000     0.000          
 C5H91X5            2   433.447     4.993     0.000     0.000     0.000          
 C5H11O2X1          2   546.691     5.698     0.000     0.000     0.000         
 C5H10OOH1X4        2   546.691     5.698     0.000     0.000     0.000       
 C5H10O1X4          2   492.434     5.369     0.000     0.000     0.000         
 C6H13X1            2   489.224     5.349     0.000     0.000     0.000          
 C6H13O2X1          2   588.653     5.943     0.000     0.000     0.000         
 C6H12X1            2   485.857     5.328     0.000     0.000     0.000          
 C6H111X3           2   482.473     5.307     0.000     0.000     0.000          
 C6H111X6           2   482.473     5.307     0.000     0.000     0.000          
 C6H12OOH1X4        2   588.653     5.943     0.000     0.000     0.000       
 C6H12O1X4          2   537.467     5.643     0.000     0.000     0.000         
 NXC3H7COCH2        2   489.084     5.348     0.000     0.000     0.000       
 C12H25X1           2   728.802     6.711     0.000     0.000     0.000          
 NXC12H26           2   731.315     6.724     0.000     0.000     0.000          
 C12H25X2           2   728.802     6.711     0.000     0.000     0.000          
 C12H25X3           2   728.802     6.711     0.000     0.000     0.000          
 C12H25X4           2   728.802     6.711     0.000     0.000     0.000          
 C12H25X5           2   728.802     6.711     0.000     0.000     0.000          
 C12H25X6           2   728.802     6.711     0.000     0.000     0.000          
 C10H21X1           2   656.121     6.322     0.000     0.000     0.000          
 C9H19X1            2   617.511     6.107     0.000     0.000     0.000          
 C8H17X1            2   577.066     5.876     0.000     0.000     0.000          
 C7H15X1            2   534.454     5.625     0.000     0.000     0.000          
 C10H21X5           2   656.121     6.322     0.000     0.000     0.000          
